11/01/21 0:48
Données du projet

                           	Segments	 Mots	Caractères (sans espaces)	Caractères (avec espaces)	Nombre de fichiers	
Total :                    	   12674	67398	                   409448	                   459901	                98	
Restants :                 	    5528	34058	                   215982	                   242093	                96	
Segments uniques :         	    7138	54367	                   296009	                   338948	                98	
Segments uniques restants :	    2163	23856	                   126636	                   147117	                96	


Statistiques par fichiers :

Nom du fichier                                                      	Total segments	Segments restants	Segments uniques	Segments uniques restants	Total mots	Mots restants	Mots uniques	Mots uniques restants	Total caractères (sans espaces)	Caractères restants (sans espaces)	Caractères uniques (sans espaces)	Caractères uniques restants (sans espaces)	Total caractères (avec espaces)	Caractères restants (avec espaces)	Caractères uniques (avec espaces)	Caractères uniques restants (avec espaces)	
Beta/scenario_dlc/DigitalAge/Buying_Spree.txt                       	            53	               44	              52	                       43	       269	          251	         269	                  251	                           1655	                              1533	                             1584	                                      1462	                           1831	                              1701	                             1760	                                      1630	
Beta/scenario_dlc/DigitalAge/Digital_Supremacy.txt                  	            60	               51	              26	                       26	       286	          268	         184	                  184	                           1882	                              1760	                             1109	                                      1109	                           2061	                              1931	                             1241	                                      1241	
Release/challenge/CHALE001.txt                                      	             7	                7	               6	                        6	        67	           67	          65	                   65	                            339	                               339	                              324	                                       324	                            390	                               390	                              374	                                       374	
Release/challenge/CHALE002.txt                                      	             7	                7	               4	                        4	        81	           81	          70	                   70	                            426	                               426	                              360	                                       360	                            490	                               490	                              420	                                       420	
Release/font/Notice.html                                            	            64	               64	              63	                       63	      1465	         1465	        1465	                 1465	                           7991	                              7991	                             7991	                                      7991	                           9380	                              9380	                             9380	                                      9380	
Release/MOD/Readme.txt                                              	             6	                6	               6	                        6	       123	          123	         123	                  123	                            579	                               579	                              579	                                       579	                            695	                               695	                              695	                                       695	
Release/MOD_kit/How to use MOD Kit.txt                              	             4	                4	               4	                        4	        64	           64	          64	                   64	                            322	                               322	                              322	                                       322	                            377	                               377	                              377	                                       377	
Release/music/Readme.txt                                            	            14	               14	              14	                       14	       157	          157	         157	                  157	                            778	                               778	                              778	                                       778	                            913	                               913	                              913	                                       913	
Release/scenario/breakthrough_in_training.txt                       	            73	               66	              29	                       29	       366	          354	         235	                  235	                           2515	                              2429	                             1397	                                      1397	                           2762	                              2671	                             1582	                                      1582	
Release/scenario/China_opening_up.txt                               	            79	               60	              35	                       24	       397	          355	         265	                  236	                           2459	                              2191	                             1464	                                      1290	                           2728	                              2437	                             1673	                                      1481	
Release/scenario/corporate_leadership.txt                           	           138	              130	              58	                       57	       761	          746	         423	                  420	                           4671	                              4567	                             2274	                                      2256	                           5196	                              5086	                             2588	                                      2569	
Release/scenario/Dilemma_of_a_Camera_Manufacturer.txt               	            76	               68	              30	                       30	       409	          396	         269	                  269	                           2655	                              2562	                             1558	                                      1558	                           2940	                              2842	                             1776	                                      1776	
Release/scenario/Family_farm_business.txt                           	            84	               71	              28	                       27	       409	          385	         242	                  240	                           2544	                              2394	                             1318	                                      1306	                           2817	                              2656	                             1513	                                      1500	
